userId,itemId,rate,summary
AED3CYXRK2RUCAGWLUCOZTFOFSPQ,B00WS63GZK,5.0,Cheap n good
AGGUGXMFDDRETUY3BXX4O6UOZDCQ,B004RFGALC,5.0,Works as described
AHLQVTMMUEVHAPRYQD6KJH2EIDOA,B00S51XM5Q,2.0,Can't run at rated speed with XMP
AG26DL64MW2KGNDTMV5HJZSVEFNQ,B0123ZAQJE,5.0,Reliable.
AEVM3B3XGPNWUFS5RNJWMYGS2FAQ,B00DQGBYDC,5.0,"Good, works like it should"
AEKDJAMCFO7NRWEOHVSKXTEAUYMA,B00UYTTLI4,5.0,Consider changing your motherboard thermal pad and GPU thermal pad if needed
AGAY7CPRLVY24VHVYCX76YS4R3UQ,B0134EU9YA,5.0,Decent ram
AHSRRA4O3WJJ7S6RBMG7KP2CB5GQ,B00CSW4BGW,5.0,Quality worth every cent
AG6SH4SYVPEHQNUMLUAB7FKB6YZQ,B004WO8HQ4,1.0,Na
AETQ4AA4SA2DTAFW4FJ57XOI2TVQ,B00J8V1INU,4.0,"Light, looks small but able to put a lot of stuff"
AFKWJL2ZEZT5O2FZJFIHGFOCHD2Q,B00LGGVOL6,5.0,Small yet sturdy
AH375MQT6DKLWUBK3TSQVBOLXQYA,B002NU5O9C,5.0,Product meets expectations
AHFX3UF6B3PRMFZ2GRYNESQGI2SA,B0076W9Q4Q,5.0,Great shopping experience
AEKXQAEN24TPE3EYEJUXG3S5OBXQ,B0000BZL0U,5.0,Genuine B+W filter at reasonable price
AFBHDSIR6CJHDLGM5PHCGT4I3HJQ,B00MYTSN18,4.0,Needed to install driver
AF7TVVMHXMAJPJNEAN5FHFZ6E2MQ,B00004ZCJJ,2.0,Does not seem to be brand new
AGFUFK3DOUO2UK4HBVGDRETIIHTA,B00XUV3JTK,4.0,Buy the AMD mounting kit as well
AF5QN6EHFR4ZZ6FCKEMZ3T4TTT2A,B00NH13K8S,1.0,Did not work
AHAEWDPADAU2NTPASYXY3BU4YZTA,B00AQUO5RI,5.0,Great speakerphone for internet calls
AE5LV6G2IQ3XDRR4EU6JL2EM2Y7Q,B00XU1GDZM,2.0,Don’t waste your money
AGIBBYZVYLR7IFYRMIFAWZE3T5WA,B0123ZAUAO,5.0,Works well
AGJTZN4L5BPRNXGAF5J45GQ43BWQ,B0006BB9MG,5.0,Very Useful Product!
AFEGB6Q3GUJRJ4NA3KN7VCRL5GJQ,B011TW8UT0,5.0,Perfect Fit!
AGIBBYZVYLR7IFYRMIFAWZE3T5WA,B00FO0DDPA,5.0,Works perfectly
AGHFTWYLMVYY7DYN7L7R3YGWSBFQ,B01CZ8BC4M,5.0,Breakthrough NEVER disappoint
AEL6GS7NN3S2FTXZ3VU7JOQYBYSA,B00FPAVUHC,1.0,Scam. This was a counterfeit
AGSQ45M3B7IHBTBUROMCEFWV3BXA,B00NH13K8S,5.0,Works great!
AEDBF73WRJXL3PBLDM3XDE7NGCYA,B00UVN2C8O,1.0,"If building a new computer and there is any error, immediately get a refund"
AEGRYA2ELTJWRHRSO3AJNWY6FJCQ,B001GI5CSA,5.0,Great spacey sturdy machine of a bag
AHRR7O3L54YZ2PL6XQGQXNSBXNOA,B00BP8UHF4,5.0,Easy to use and travel with
AGXNJWIAYKHIQ3GTXNV4KLCGSGBQ,B00NAMU8NO,5.0,Only choose this brand for the HDD Caddy. Won't consider other generic brands.
AF3QNPMCP2F3C4JSTFPTVVF64CPA,B0076W9Q5A,5.0,"no issue at all, tested on razer and dell."
AEFZXNSOTKUNXPHHUJZOLH2ASDKQ,B00LL3O236,5.0,Value for Money
AFHZ7OQLZIG7P3UFWAT353UJRFIA,B006U3O566,5.0,Product quality
AGKMMJVGTIAH2TSG72TUFPFEKMTA,B001H1VB18,5.0,Genuine Filters that works well
AEKJENLK2DOHA5WMPAVOY6UBO2AA,B004SP0WAQ,5.0,Good and works well !
AHGHZ257QONNBNNTKLOLQ7UPVEKQ,B018YKTD1Y,5.0,So far so good - used 10 times in 3 weeks
AEXVS54OZKGOCUJQEUYUTKC5QV4A,B007K3TK4W,5.0,Easy to use
AEJYFCOU2KJQM5SHU7OW26MV5ZVQ,B01BUSN07K,5.0,Useful tool
AE3S3WQSPQ45KQSJ4LDJ75T7TCQQ,B00006HOKW,4.0,sturdy build
AFQO2KKMU3ZCK7BJPQMT67FB2OPQ,B01GGKYXVE,5.0,Super Type-C cable durable amd high quality!
AEAQXI6NF2BSAUJNLEC4Q6KHREOQ,B00OVVTA28,3.0,pencil doesnt charge through the cutout
